Date,SHK126,SHK127,SHK128,SHK129,SHK130,SHK131,SHK136,SHK137,SHK145
2000-12-01,10.0,10.0,10.0,10.0,10.0,10,,,
2000-12-04,10.0,10.0,10.0,10.0,10.0,10,,,
2000-12-05,10.0,10.0,10.0,10.0,10.0,10,,,
2000-12-06,10.0,10.0,10.0,10.0,10.0,10,,,
2000-12-07,10.0,10.0,10.0,10.0,10.0,10,,,
2000-12-08,10.0,10.0,10.0,10.0,10.0,10,,,
2000-12-11,10.0,10.0,10.0,10.0,10.0,10,,,
2000-12-12,9.92,9.975,9.979,10.004,10.0,10,,,
2000-12-13,10.12,9.951,10.028,10.005,10.0,10,,,
2000-12-14,10.076,9.891,9.999,10.006,9.852,10.001,,,
2000-12-15,9.806,9.735,9.893,10.007,9.481,10.002,,,
2000-12-18,9.831,9.698,9.757,10.01,9.567,9.631,,,
2000-12-19,9.933,9.658,9.699,10.011,9.535,9.486,,,
2000-12-20,9.885,9.494,9.607,10.012,9.177,9.396,,,
2000-12-21,9.819,9.462,9.507,10.013,9.174,9.256,,,
2000-12-22,9.849,9.559,9.515,10.015,9.406,9.264,,,
2000-12-27,9.841,9.651,9.552,10.019,9.582,9.362,,,
2000-12-28,9.863,9.687,9.573,10.02,9.662,9.374,,,
2000-12-29,10.021,9.646,9.595,10.051,9.545,9.333,,,
2001-01-02,9.888,9.509,9.564,10.023,9.23,9.342,,,
2001-01-03,9.706,9.642,9.524,9.98,9.602,9.337,,,
2001-01-04,10.11,9.677,9.576,9.951,9.752,9.205,,,
2001-01-05,10.264,9.637,9.669,10.036,9.556,9.213,,,
2001-01-08,10.247,9.589,9.655,9.955,9.493,9.241,,,
2001-01-09,10.245,9.524,9.598,9.803,9.523,9.196,,,
2001-01-10,10.217,9.544,9.512,9.713,9.699,9.126,,,
2001-01-11,9.924,9.59,9.286,9.87,9.837,8.896,,,
2001-01-12,10.038,9.631,9.342,9.992,9.802,8.93,,,
2001-01-15,10.004,9.632,9.321,9.996,9.82,8.953,,,
2001-01-16,10.012,9.624,9.364,9.866,9.881,9.019,,,
2001-01-17,9.955,9.706,9.406,10.047,9.877,9.1,,,
2001-01-18,10.102,9.75,9.458,10.017,9.981,9.211,,,
2001-01-19,10.341,9.777,9.589,10.016,9.941,9.3,,,
2001-01-22,10.433,9.784,9.633,9.935,10.015,9.355,,,
2001-01-23,10.347,9.854,9.581,9.992,10.168,9.293,,,
2001-01-29,10.333,9.864,9.486,10.015,10.264,9.239,,,
2001-01-30,10.179,9.875,9.525,9.977,10.304,9.291,,,
2001-01-31,10.318,9.883,9.631,10.05,10.193,9.324,,,
2001-02-01,10.363,9.891,9.643,9.989,10.227,9.307,,,
2001-02-02,10.282,9.82,9.656,9.96,10.062,9.316,,,
2001-02-05,10.137,9.763,9.432,9.952,10.074,9.073,,,
2001-02-06,10.166,9.801,9.461,10.012,10.096,9.097,,,
2001-02-07,10.233,9.709,9.49,9.83,9.995,9.186,,,
2001-02-08,10.135,9.647,9.446,9.757,9.943,9.098,,,
2001-02-09,10.131,9.557,9.474,9.634,9.822,9.2,,,
2001-02-12,10.069,9.624,9.447,9.723,9.934,9.145,,,
2001-02-13,10.166,9.607,9.47,9.757,9.851,9.131,,,
2001-02-14,10.181,9.519,9.449,9.577,9.83,9.082,,,
2001-02-15,10.106,9.59,9.467,9.657,9.909,9.144,,,
2001-02-16,10.045,9.44,9.411,9.469,9.755,9.086,,,
2001-02-19,10.044,9.416,9.359,9.424,9.747,9.041,,,
2001-02-20,10.065,9.357,9.434,9.375,9.57,9.112,,,
2001-02-21,10.01,9.205,9.359,9.248,9.364,9.071,,,
2001-02-22,9.905,9.145,9.262,9.158,9.338,9.016,,,
2001-02-23,9.983,9.097,9.299,9.014,9.316,9.089,,,
2001-02-26,10.004,9.251,9.383,9.128,9.509,9.191,,,
2001-02-27,9.855,9.18,9.291,9.095,9.416,9.135,,,
2001-02-28,9.837,9.112,9.259,9.043,9.32,9.051,,,
2001-03-01,9.559,9.052,9.124,8.972,9.302,8.951,,,
2001-03-02,9.383,9.008,8.936,9.058,9.242,8.725,,,
2001-03-05,9.493,9.031,8.896,9.128,9.304,8.619,,,
2001-03-06,9.652,9.156,9.063,9.244,9.383,8.858,,,
2001-03-07,9.579,9.198,9.052,9.265,9.439,8.915,,,
2001-03-08,9.577,9.149,9.031,9.164,9.437,8.895,,,
2001-03-09,9.519,9.037,9.006,9.113,9.173,8.933,,,
2001-03-12,9.227,8.712,8.717,8.879,8.74,8.661,,,
2001-03-13,9.041,8.669,8.518,8.761,8.884,8.441,,,
2001-03-14,8.981,8.498,8.509,8.553,8.684,8.399,,,
2001-03-15,9.105,8.552,8.545,8.639,8.711,8.498,,,
2001-03-16,9.085,8.383,8.477,8.433,8.537,8.471,,,
2001-03-19,9.128,8.41,8.419,8.376,8.694,8.433,,,
2001-03-20,8.96,8.385,8.392,8.487,8.516,8.456,,,
2001-03-21,8.87,8.375,8.561,8.397,8.336,8.868,,,
2001-03-22,8.549,8.172,8.405,8.009,8.263,8.795,,,
2001-03-23,8.582,8.326,8.565,8.108,8.443,9.019,,,
2001-03-26,8.791,8.517,8.776,8.382,8.502,9.358,,,
2001-03-27,8.641,8.694,8.734,8.622,8.719,9.389,,,
2001-03-28,8.693,8.589,8.776,8.501,8.503,9.493,,,
2001-03-29,8.605,8.498,8.55,8.491,8.5,9.137,,,
2001-03-30,8.684,8.501,8.474,8.534,8.597,8.987,,,
2001-04-02,8.662,8.383,8.363,8.464,8.444,8.898,,,
2001-04-03,8.617,8.225,8.391,8.293,8.11,9.041,,,
2001-04-04,8.367,8.26,8.334,8.355,8.089,9.112,,,
2001-04-06,8.469,8.432,8.504,8.499,8.287,9.271,,,
2001-04-09,8.332,8.458,8.323,8.603,8.373,9.068,,,
2001-04-10,8.315,8.584,8.221,8.837,8.604,8.876,,,
2001-04-11,8.565,8.619,8.488,8.807,8.573,9.117,,,
2001-04-12,8.879,8.71,8.587,8.844,8.719,9.202,,,
2001-04-17,8.718,8.691,8.54,8.755,8.764,9.169,,,
2001-04-18,8.921,8.934,8.791,8.935,9.073,9.439,,,
2001-04-19,9.25,9.061,9.037,8.965,9.232,9.582,,,
2001-04-20,9.196,9.022,8.976,8.971,9.142,9.522,,,
2001-04-23,9.149,8.94,8.935,8.903,9.0,9.459,,,
2001-04-24,9.108,8.933,8.972,8.996,8.876,9.55,,,
2001-04-25,9.075,8.99,9.018,8.93,9.045,9.644,,,
2001-04-26,9.113,9.081,9.079,9.035,9.104,9.778,,,
2001-04-27,9.168,9.142,9.031,9.113,9.229,9.706,,,
2001-05-02,9.394,9.337,9.402,9.192,9.4,10.143,,,
2001-05-03,9.344,9.228,9.43,8.985,9.275,10.169,,,
2001-05-04,9.18,9.286,9.391,9.036,9.389,10.193,,,
2001-05-07,9.328,9.298,9.456,9.052,9.361,10.279,,,
2001-05-08,9.311,9.274,9.374,9.062,9.366,10.15,,,
2001-05-09,9.342,9.18,9.269,8.976,9.31,9.98,,,
2001-05-10,9.391,9.213,9.225,9.132,9.307,9.885,,,
2001-05-11,9.412,9.157,9.252,9.035,9.249,9.925,,,
2001-05-14,9.196,9.048,9.116,8.85,9.254,9.745,,,
2001-05-15,9.242,9.116,9.151,8.973,9.276,9.846,,,
2001-05-16,9.314,9.163,9.017,8.962,9.527,9.6,,,
2001-05-17,9.462,9.314,9.224,9.128,9.607,9.799,,,
2001-05-18,9.376,9.331,9.226,9.168,9.621,9.802,,,
2001-05-21,9.508,9.458,9.323,9.228,9.826,9.91,,,
2001-05-22,9.592,9.458,9.362,9.238,9.81,9.938,,,
2001-05-23,9.59,9.347,9.427,9.112,9.617,9.988,,,
2001-05-24,9.582,9.37,9.466,9.098,9.677,10.038,,,
2001-05-25,9.555,9.296,9.436,9.023,9.574,10.001,,,
2001-05-28,9.567,9.281,9.336,9.069,9.573,9.856,,,
2001-05-29,9.498,9.223,9.374,9.016,9.46,9.903,,,
2001-05-30,9.343,9.096,9.252,8.946,9.291,9.729,,,
2001-05-31,9.163,9.103,9.154,8.952,9.365,9.661,,,
2001-06-01,9.152,9.113,9.171,8.923,9.405,9.714,,,
2001-06-04,9.239,9.161,9.214,8.978,9.435,9.767,,,
2001-06-05,9.398,9.21,9.189,9.005,9.59,9.688,,,
2001-06-06,9.457,9.181,9.185,9.017,9.504,9.648,,,
2001-06-07,9.542,9.187,9.24,8.935,9.565,9.706,,,
2001-06-08,9.595,9.154,9.334,8.922,9.458,9.735,,,
2001-06-11,9.489,9.052,9.193,8.88,9.33,9.576,,,
2001-06-12,9.392,8.935,9.03,8.711,9.353,9.287,,,
2001-06-13,9.347,8.906,9.003,8.756,9.248,9.241,,,
2001-06-14,9.146,8.782,8.941,8.716,9.023,9.219,,,
2001-06-15,9.041,8.776,8.95,8.679,9.022,9.22,,,
2001-06-18,8.968,8.707,8.814,8.633,8.963,9.072,,,
2001-06-19,9.047,8.698,8.767,8.634,8.98,8.976,,,
2001-06-20,8.966,8.719,8.752,8.571,9.079,9.038,,,
2001-06-21,9.133,8.784,8.84,8.584,9.151,9.192,,,
2001-06-22,9.091,8.777,8.9,8.633,9.076,9.312,,,
2001-06-26,8.985,8.728,8.857,8.543,9.031,9.288,,,
2001-06-27,8.988,8.697,8.789,8.509,9.021,9.165,,,
2001-06-28,8.87,8.756,8.726,8.564,9.149,9.092,,,
2001-06-29,9.003,8.814,8.897,8.604,9.193,9.303,,,
2001-07-03,9.053,8.836,8.887,8.611,9.227,9.298,,,
2001-07-04,9.093,8.794,8.816,8.524,9.235,9.14,,,
2001-07-05,8.957,8.69,8.73,8.451,9.11,9.049,,,
2001-07-09,8.757,8.521,8.455,8.332,8.95,8.732,,,
2001-07-10,8.805,8.46,8.499,8.282,8.82,8.81,,,
2001-07-11,8.719,8.425,8.379,8.24,8.829,8.633,,,
2001-07-12,8.794,8.587,8.516,8.294,9.055,8.843,,,
2001-07-13,8.757,8.607,8.483,8.317,9.097,8.86,,,
