Date,SHK126,SHK127,SHK128,SHK129,SHK130,SHK131,SHK136,SHK137,SHK145
2000-12-01,10.0,10.0,10.0,10.0,10.0,10,,,
2000-12-08,10.0,10.0,10.0,10.0,10.0,10,,,
2000-12-15,9.806,9.735,9.893,10.007,9.481,10.002,,,
2000-12-22,9.849,9.559,9.515,10.015,9.406,9.264,,,
2000-12-29,10.021,9.646,9.595,10.051,9.545,9.333,,,
2001-01-05,10.264,9.637,9.669,10.036,9.556,9.213,,,
2001-01-12,10.038,9.631,9.342,9.992,9.802,8.93,,,
2001-01-19,10.341,9.777,9.589,10.016,9.941,9.3,,,
2001-01-26,10.347,9.854,9.581,9.992,10.168,9.293,,,
2001-02-02,10.282,9.82,9.656,9.96,10.062,9.316,,,
2001-02-09,10.131,9.557,9.474,9.634,9.822,9.2,,,
2001-02-16,10.045,9.44,9.411,9.469,9.755,9.086,,,
2001-02-23,9.983,9.097,9.299,9.014,9.316,9.089,,,
2001-03-02,9.383,9.008,8.936,9.058,9.242,8.725,,,
2001-03-09,9.519,9.037,9.006,9.113,9.173,8.933,,,
2001-03-16,9.085,8.383,8.477,8.433,8.537,8.471,,,
2001-03-23,8.582,8.326,8.565,8.108,8.443,9.019,,,
2001-03-30,8.684,8.501,8.474,8.534,8.597,8.987,,,
2001-04-06,8.469,8.432,8.504,8.499,8.287,9.271,,,
2001-04-13,8.879,8.71,8.587,8.844,8.719,9.202,,,
2001-04-20,9.196,9.022,8.976,8.971,9.142,9.522,,,
2001-04-27,9.168,9.142,9.031,9.113,9.229,9.706,,,
2001-05-04,9.18,9.286,9.391,9.036,9.389,10.193,,,
2001-05-11,9.412,9.157,9.252,9.035,9.249,9.925,,,
2001-05-18,9.376,9.331,9.226,9.168,9.621,9.802,,,
2001-05-25,9.555,9.296,9.436,9.023,9.574,10.001,,,
2001-06-01,9.152,9.113,9.171,8.923,9.405,9.714,,,
2001-06-08,9.595,9.154,9.334,8.922,9.458,9.735,,,
2001-06-15,9.041,8.776,8.95,8.679,9.022,9.22,,,
2001-06-22,9.091,8.777,8.9,8.633,9.076,9.312,,,
2001-06-29,9.003,8.814,8.897,8.604,9.193,9.303,,,
2001-07-06,8.957,8.69,8.73,8.451,9.11,9.049,,,
2001-07-13,8.757,8.607,8.483,8.317,9.097,8.86,,,
2001-07-20,8.548,8.516,8.283,8.318,8.983,8.544,,,
2001-07-27,8.433,8.469,8.235,8.317,8.901,8.489,,,
2001-08-03,8.465,8.586,8.482,8.473,8.95,8.703,,,
2001-08-10,8.099,8.361,8.325,8.237,8.699,8.542,,,
2001-08-17,8.161,8.284,8.453,8.24,8.487,8.63,,,
2001-08-24,7.89,8.351,8.264,8.473,8.584,8.415,,,
2001-08-31,7.866,8.081,8.104,8.217,8.264,8.131,,,
2001-09-07,7.392,7.665,7.804,7.619,7.9,7.782,,,
2001-09-14,7.379,7.632,7.724,7.536,7.927,7.644,,,
2001-09-21,6.382,6.686,6.879,6.411,6.935,7.2,,,
2001-09-28,6.94,7.145,7.101,7.075,7.397,7.354,,,
2001-10-05,7.169,7.352,7.319,7.302,7.597,7.536,,,
2001-10-12,7.15,7.463,7.44,7.418,7.708,7.668,,,
2001-10-19,6.947,7.32,7.393,7.296,7.505,7.645,,,
2001-10-26,7.277,7.526,7.621,7.562,7.668,7.874,,,
2001-11-02,7.131,7.398,7.431,7.503,7.546,7.561,,,
2001-11-09,7.44,7.528,7.599,7.674,7.693,7.443,,,
2001-11-16,7.883,7.667,7.844,7.77,7.83,7.546,,,
2001-11-23,7.905,7.703,7.944,7.724,7.907,7.534,,,
2001-11-30,7.717,7.611,7.828,7.572,7.85,7.469,,,
2001-12-07,8.218,7.793,8.226,7.851,7.971,7.359,,,
